要求番号,分類,内容
1,要求,「ふるいわけ.htm」の画像表示機能のGUIを再現すること。
,理由,まずは簡単な部分から実装を始めるため。
,説明,この資料では、ファイル名と画像の組み合わせを「ターゲット要素」、ターゲット要素を横に1～5つ並べたものを「ターゲット行」と呼ぶ。
2,GUI,ターゲット要素のファイル名はCheckBoxの属性として表現する。
3,GUI,ターゲット要素の画像のサイズは縦100、横100の固定とする。
4,GUI,ターゲット行はStackPanelのOrientation="Horizontal"で表現する。
5,要求,以下の拡張子のファイルを画像ファイルとして扱うこと。<ul><li>jpgまたはjpeg</li><li>png</li><li>gif</li></ul>
,理由,一般的な画像ファイルを対象とするため。
,説明,-
6,要求,カレントディレクトリに画像が存在する場合、最大100件の画像ファイルを表示すること。
,理由,あまりに多くの画像を表示しても分類に手間取ってしまうため
,説明,画像が存在しない場合は何も表示しない。また、表示する場合も100件程度であればちょうどよいと考えられる。
7,GUI,画像ファイルが5件より多い場合、ターゲット行を2行生成して画像を表示する。
8,GUI,ターゲット行に表示する画像ファイルが4件以下の場合、ターゲット行に含めるターゲット要素も画像ファイルと同数とする（表示しない画像のためのターゲット要素は生成しない。）
9,要求,カレントディレクトリに存在する画像ファイルの総数をTextBlockに表示すること。
,理由,ファイルの分類の進捗状況を把握できるようにするため。
,説明,-
10,要求,［フォルダへ移動］ボタンを押下すると、画像表示を再描画すること。
,理由,実際に移動させた場合には画像表示を更新する必要があるため。
,説明,現時点では単なるスタブなので、表示を更新しても同じ表示のままとなる（同じ内容で再描画するだけのため。）
